Projects/Services,Tools,Software
Schiebroek-Zuid,Data Collection,Data Collection Tool
Schiebroek-Zuid,Road-Mapping,Road-Mapping Tool
Polydome,Data Collection,Flowmat
Urban Renaissance,Reporting,Reporting Tool
Shanghai,Data Collection,Flowmat
Urban Renaissance,Stakeholder Involvement,Neva
Urban Renaissance,Data Collection,Digital Asset Management
ICs,Data Collection,Digital Asset Management
ICs,Data Collection,Data Collection Tool
SIS,Finding World Experts,Neva
CSR,System Mapping,Flowmat
Polydome,System Mapping,Flowmat
IQS,Custom Analysis,Flowmat
Schiebroek-Zuid,Data Collection,Flowmat
Urban Renaissance,Program Development,Program Development Tool
ICs,Custom Analysis,Flowmat
ICs,Data Collection,Flowmat
CSR,Data Collection,Neva
Hortus Celestia,Feasibility Study,Flowmat
Urban Renaissance,Stakeholder Involvement,Stakeholder Involvement Tool
Polydome,Data Collection,Digital Asset Management
IQS,Data Collection,Neva
Polydome,Precedent Analysis,Neva
CSR,Workshops Hosting,Workshops Hosting Tool
Industry Roadmap,Custom Analysis,Flowmat
CSR,Data Collection,Digital Asset Management
SIS,System Mapping,Flowmat
Industry Roadmap,Modular Project Management,SiD Project Manager
IQS,Data Collection,Flowmat
CSR,Custom Analysis,Flowmat
IQS,Data Collection,Digital Asset Management
Schiebroek-Zuid,Stakeholder Involvement,Neva
IQS,System Mapping,Flowmat
CSR,Data Collection,Flowmat
Shanghai,Data Collection,Neva
Except General,City Planning,City Planning Tool
Except General,Modular Project Management,SiD Project Manager
ICs,Data Collection,Neva
SIS,Stakeholder Involvement,Neva
Urban Renaissance,System Mapping,Flowmat
Polydome,Data Collection,Neva
Urban Renaissance,Road-Mapping,Road-Mapping Tool
SIS,Stakeholder Involvement,Stakeholder Involvement Tool
CSR,Data Collection,Data Collection Tool
Urban Renaissance,Data Collection,Neva
Shanghai,Data Collection,Digital Asset Management
Except General,City Planning,Flowmat
Shanghai,System Mapping,Flowmat
ICs,Installing Tech Infrastructure,Tech Infrastructure Management Tool
Industry Roadmap,Road-Mapping,Road-Mapping Tool
SiD,System Mapping,Flowmat
Schiebroek-Zuid,Data Collection,Digital Asset Management
Urban Renaissance,Data Collection,Flowmat
Urban Renaissance,Reporting,Flowmat
Except General,Facility Audits,Facility Audit Tool
Except General,Life Cycle Analysis,Flowmat
SIS,Program Development,Program Development Tool
SiD,Modular Project Management,SiD Project Manager
ICs,System Mapping,Flowmat
Shanghai,Data Collection,Data Collection Tool
Polydome,Data Collection,Data Collection Tool
Except General,System Mapping,Flowmat
Industry Roadmap,System Mapping,Flowmat
Schiebroek-Zuid,Stakeholder Involvement,Stakeholder Involvement Tool
Schiebroek-Zuid,System Mapping,Flowmat
Urban Renaissance,Data Collection,Data Collection Tool
Urban Renaissance,Precedent Analysis,Neva
IQS,Data Collection,Data Collection Tool
Schiebroek-Zuid,Data Collection,Neva
